wall_time,step,value
1759805528.475442,493,-35.69422912597656
1759805529.0766745,494,-35.45695495605469
1759805529.5109675,495,-35.65481185913086
1759805529.8584025,496,-33.29107666015625
1759805530.1204727,497,-31.946521759033203
1759805530.6851954,498,-33.81249237060547
1759805530.9637783,499,-32.8082160949707
1759805531.4625683,500,-32.007850646972656
1759805532.8125896,501,-36.64244079589844
1759805533.3579557,502,-38.192134857177734
1759805534.0204844,503,-37.5305290222168
1759805534.3486822,504,-36.86891555786133
1759805534.8348434,505,-36.73456573486328
1759805535.2929451,506,-36.172882080078125
1759805535.8876743,507,-35.52871322631836
1759805537.219488,508,-35.954524993896484
1759805537.7279875,509,-38.27156448364258
1759805538.1580508,510,-38.15824890136719
1759805538.7801719,511,-37.801387786865234
1759805539.6393192,512,-36.81077194213867
1759805540.4126441,513,-39.67294692993164
1759805541.6906364,514,-42.185218811035156
1759805543.258966,515,-44.03856658935547
1759805543.8102603,516,-47.4168586730957
1759805544.4693983,517,-47.107784271240234
1759805545.2629275,518,-46.9012565612793
1759805545.7485392,519,-49.06428146362305
1759805546.2912455,520,-46.04768753051758
1759805547.0307436,521,-45.272422790527344
1759805548.3189993,522,-47.50260543823242
1759805549.1185076,523,-54.20295333862305
1759805549.9353755,524,-58.04700469970703
1759805550.2761955,525,-52.29933547973633
1759805550.626836,526,-51.2322998046875
1759805551.2687712,527,-50.562618255615234
1759805551.5952847,528,-50.409080505371094
1759805553.4654446,529,-51.745758056640625
1759805553.7810595,530,-48.310359954833984
1759805554.732363,531,-46.321815490722656
1759805555.5607896,532,-43.4522590637207
1759805556.2166345,533,-42.41728973388672
1759805556.765767,534,-42.298362731933594
1759805557.080683,535,-40.774723052978516
1759805557.3940423,536,-43.344085693359375
1759805558.397985,537,-50.68244934082031
1759805558.7780461,538,-52.5563850402832
1759805559.65925,539,-52.519439697265625
1759805560.2872963,540,-51.68730163574219
1759805560.9969425,541,-51.206336975097656
1759805562.802412,542,-59.91224670410156
1759805563.7028582,543,-60.45759582519531
1759805565.3758152,544,-62.445404052734375
1759805566.7621038,545,-66.92020416259766
1759805567.714169,546,-70.54483795166016
1759805568.8192334,547,-72.62848663330078
1759805569.2983136,548,-73.73601531982422
1759805570.038287,549,-80.2523193359375
1759805570.4735975,550,-80.7213134765625
1759805571.0770516,551,-82.37080383300781
1759805571.6520197,552,-82.84888458251953
1759805572.648477,553,-81.82258605957031
1759805573.376073,554,-87.79462432861328
1759805574.8702946,555,-89.52708435058594
1759805576.121,556,-92.19490051269531
1759805576.6014574,557,-94.08949279785156
1759805577.8298056,558,-97.14289855957031
1759805579.1830287,559,-100.12675476074219
1759805581.6764095,560,-100.73616027832031
1759805582.2662919,561,-102.8592300415039
1759805584.3776762,562,-104.38704681396484
1759805585.5940492,563,-106.32395935058594
1759805587.7084172,564,-105.87044525146484
1759805588.158698,565,-106.64918518066406
1759805588.705371,566,-110.71363067626953
1759805590.5226576,567,-113.97303771972656
1759805591.3590436,568,-116.32292175292969
1759805592.9626172,569,-118.93402862548828
1759805593.3407211,570,-119.57965087890625
1759805595.2524414,571,-123.35175323486328
1759805596.1865165,572,-126.26818084716797
1759805598.3058302,573,-127.19524383544922
1759805600.4217236,574,-128.33120727539062
1759805601.6015413,575,-131.3712921142578
1759805602.7420082,576,-135.46298217773438
1759805604.8617334,577,-138.0711669921875
1759805605.201359,578,-138.75997924804688
1759805606.9988544,579,-144.69500732421875
1759805608.3866246,580,-146.4717559814453
1759805610.5061035,581,-145.93975830078125
1759805612.6203246,582,-142.7685089111328
1759805614.2034187,583,-145.12855529785156
1759805616.313601,584,-146.02371215820312
1759805618.4278164,585,-146.95323181152344
1759805619.5205238,586,-148.4214324951172
1759805621.3857262,587,-149.1822052001953
1759805623.5172048,588,-147.4048309326172
1759805625.7473226,589,-149.83970642089844
1759805627.268863,590,-153.19332885742188
1759805629.1019282,591,-154.9994354248047
1759805631.2792742,592,-156.23353576660156
1759805633.4587953,593,-154.14364624023438
1759805635.6350777,594,-154.69032287597656
1759805637.8134751,595,-156.72608947753906
1759805639.9936237,596,-157.94557189941406
1759805641.6568666,597,-159.66937255859375
1759805642.60576,598,-166.67774963378906
1759805643.6547065,599,-173.31861877441406
1759805644.6373234,600,-174.31167602539062
1759805646.8163054,601,-171.48977661132812
1759805648.944568,602,-175.36277770996094
